Sample,Date,Replicate,Site,Trap,Formicidae,Wingless parasitoid,Araneae,Collembola,Acarina
R1,7/1/2020,A,Dix,ramp,3,0,4,16,2
R2,7/1/2020,B,Dix,ramp,14,0,13,48,13
R5,7/1/2020,A,Allerton,ramp,1,4,5,49,5
R6,7/1/2020,B,Allerton,ramp,4,2,1,30,7
R7,7/1/2020,A,Rec,ramp,7,3,3,53,2
R8,7/1/2020,B,Rec,ramp,3,3,0,8,0
R9,7/15/2020,A,Dix,ramp,5,2,12,5,3
R10,7/15/2020,B,Dix,ramp,34,1,5,8,0
R11,7/15/2020,A,Allerton,ramp,3,0,5,12,0
R12,7/15/2020,B,Allerton,ramp,6,4,8,47,3
R13,7/15/2020,A,Rec,ramp,34,3,3,15,0
R14,7/15/2020,B,Rec,ramp,56,2,2,17,0
R15,7/27/2020,A,Dix,ramp,96,1,33,29,6
R16,7/27/2020,B,Dix,ramp,25,0,24,22,2
R17,7/27/2020,A,Allerton,ramp,7,1,16,74,3
R18,7/27/2020,B,Allerton,ramp,12,4,16,74,7
R19,7/27/2020,A,Rec,ramp,20,0,6,16,0
R20,7/27/2020,B,Rec,ramp,12,1,3,9,0
R21,8/11/2020,A,Dix,ramp,5,1,53,22,8
R22,8/11/2020,B,Dix,ramp,11,0,32,15,10
R23,8/11/2020,A,Allerton,ramp,33,1,9,35,5
R24,8/11/2020,B,Allerton,ramp,8,5,19,20,21
R25,8/11/2020,A,Rec,ramp,1,1,0,1,0
R26,8/11/2020,B,Rec,ramp,9,2,7,10,5
R27,8/26/2020,A,Dix,ramp,24,1,8,3,7
R28,8/26/2020,B,Dix,ramp,3,2,12,8,6
R29,8/26/2020,A,Allerton,ramp,9,2,10,10,26
R30,8/26/2020,B,Allerton,ramp,5,1,8,4,29
R31,8/26/2020,A,Rec,ramp,61,4,2,0,0
R32,8/26/2020,B,Rec,ramp,30,2,1,0,0
R33,9/7/2020,A,Dix,ramp,2,3,12,5,9
R34,9/7/2020,B,Dix,ramp,3,0,5,6,4
R35,9/7/2020,A,Allerton,ramp,0,6,12,17,7
R36,9/7/2020,B,Allerton,ramp,2,2,4,30,15
R37,9/7/2020,A,Rec,ramp,6,0,3,4,0
R38,9/7/2020,B,Rec,ramp,3,1,0,0,2
R39,9/23/2020,A,Dix,ramp,2,0,7,4,2
R40,9/23/2020,B,Dix,ramp,1,0,3,1,6
R41,9/23/2020,A,Allerton,ramp,1,0,4,4,6
R42,9/23/2020,B,Allerton,ramp,1,1,4,3,3
R43,9/23/2020,A,Rec,ramp,12,0,2,8,0
R44,9/23/2020,B,Rec,ramp,5,0,5,6,1
C1,7/1/2020,A,Dix,sticky,0,0,0,0,0
C2,7/1/2020,B,Dix,sticky,1,0,2,0,0
C5,7/1/2020,A,Allerton,sticky,0,0,0,0,1
C6,7/1/2020,B,Allerton,sticky,0,0,0,0,1
