Sample,Date,Replicate,Site,Trap,Diptera,Apoidea,Ichneumonoidea,Chalcidoidea,Pompilidae,Miridae,Aleyrodidae,Anthocoridae,Nabidae,Alydidae,Cantharidae,Lampyridae,Coccinellidae,Chrysomelidae,Curculionidae,Mordellidae,Buprestidae,Lepidoptera,Thysanoptera,Psocidae,Hemerobiidae,Zygoptera
R1,7/1/2020,A,Dix,ramp,51,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,1,0
R2,7/1/2020,B,Dix,ramp,25,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0
R5,7/1/2020,A,Allerton,ramp,68,0,3,12,0,0,2,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0
R6,7/1/2020,B,Allerton,ramp,80,0,1,11,0,0,1,0,0,0,1,0,0,0,2,0,0,1,8,0,0,0
R7,7/1/2020,A,Rec,ramp,25,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0
R8,7/1/2020,B,Rec,ramp,17,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0
R9,7/15/2020,A,Dix,ramp,43,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0
R10,7/15/2020,B,Dix,ramp,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0
R11,7/15/2020,A,Allerton,ramp,132,0,2,16,0,0,3,0,0,0,0,0,0,0,5,0,0,0,21,0,0,0
R12,7/15/2020,B,Allerton,ramp,131,0,0,12,0,2,0,0,1,0,0,0,0,0,1,0,0,0,17,0,0,0
R13,7/15/2020,A,Rec,ramp,28,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
R14,7/15/2020,B,Rec,ramp,28,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0
R15,7/27/2020,A,Dix,ramp,52,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0
R16,7/27/2020,B,Dix,ramp,56,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
R17,7/27/2020,A,Allerton,ramp,49,0,0,27,0,0,4,0,0,0,0,0,1,1,2,0,0,0,14,0,0,0
R18,7/27/2020,B,Allerton,ramp,48,0,1,14,0,5,3,0,0,0,0,0,1,2,1,0,0,0,17,0,0,0
R19,7/27/2020,A,Rec,ramp,17,5,0,6,0,0,4,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0
R20,7/27/2020,B,Rec,ramp,29,3,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0
R21,8/11/2020,A,Dix,ramp,54,2,0,14,0,0,0,0,0,0,1,0,0,2,0,0,0,0,12,0,0,0
R22,8/11/2020,B,Dix,ramp,56,0,1,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23,0,0,0
R23,8/11/2020,A,Allerton,ramp,88,0,3,22,0,4,0,0,0,0,0,0,1,3,0,0,0,0,4,0,0,0
R24,8/11/2020,B,Allerton,ramp,86,0,0,34,0,1,1,0,0,1,0,0,2,3,1,0,0,0,11,0,0,0
R25,8/11/2020,A,Rec,ramp,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R26,8/11/2020,B,Rec,ramp,30,2,0,5,0,0,0,0,0,0,0,0,0,3,0,1,0,0,7,0,0,0
R27,8/26/2020,A,Dix,ramp,27,7,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0
R28,8/26/2020,B,Dix,ramp,45,0,0,22,0,0,1,0,1,0,1,0,1,1,0,0,0,0,10,0,0,0
R29,8/26/2020,A,Allerton,ramp,70,0,2,35,0,2,1,0,0,0,11,0,2,7,0,0,0,0,7,0,0,0
R30,8/26/2020,B,Allerton,ramp,80,0,1,75,0,2,0,0,0,0,5,0,1,8,0,0,0,0,7,0,0,0
R31,8/26/2020,A,Rec,ramp,13,0,0,11,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5,1,0,1
R32,8/26/2020,B,Rec,ramp,19,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,2,0,0
