Sample,Date,Replicate,Site,Trap,Carabidae,Staphylinidae,Scarabaeidae,Cicadellidae,Membracidae,Aphididae,Ceropidae,Derbidae,Elateridae,Orthoptera
R1,7/1/2020,A,Dix,ramp,0,0,0,11,0,2,0,0,0,0
R2,7/1/2020,B,Dix,ramp,0,0,0,20,0,1,0,0,1,0
R5,7/1/2020,A,Allerton,ramp,0,0,0,19,0,0,0,0,0,0
R6,7/1/2020,B,Allerton,ramp,0,1,0,11,0,1,0,0,0,0
R7,7/1/2020,A,Rec,ramp,0,0,0,2,0,1,0,0,0,0
R8,7/1/2020,B,Rec,ramp,0,1,0,5,0,5,0,0,1,1
R9,7/15/2020,A,Dix,ramp,0,1,1,129,0,0,0,0,0,0
R10,7/15/2020,B,Dix,ramp,0,0,0,22,0,2,0,0,1,0
R11,7/15/2020,A,Allerton,ramp,0,0,0,297,0,2,0,0,0,0
R12,7/15/2020,B,Allerton,ramp,0,1,0,277,0,2,0,0,0,0
R13,7/15/2020,A,Rec,ramp,0,0,0,97,0,5,0,0,0,1
R14,7/15/2020,B,Rec,ramp,0,0,0,106,0,7,0,0,0,1
R15,7/27/2020,A,Dix,ramp,0,0,0,161,0,2,0,0,1,0
R16,7/27/2020,B,Dix,ramp,0,0,0,103,0,4,0,0,0,0
R17,7/27/2020,A,Allerton,ramp,0,2,0,288,0,33,0,0,0,0
R18,7/27/2020,B,Allerton,ramp,0,1,1,266,0,11,0,0,1,0
R19,7/27/2020,A,Rec,ramp,0,0,0,70,0,3,0,0,0,2
R20,7/27/2020,B,Rec,ramp,0,0,0,72,0,1,0,0,0,0
R21,8/11/2020,A,Dix,ramp,0,0,0,22,0,2,0,0,0,0
R22,8/11/2020,B,Dix,ramp,0,0,0,31,0,7,0,0,0,0
R23,8/11/2020,A,Allerton,ramp,0,0,0,61,0,42,0,0,0,0
R24,8/11/2020,B,Allerton,ramp,0,1,0,101,0,11,0,0,0,0
R25,8/11/2020,A,Rec,ramp,0,0,0,0,0,0,0,0,0,0
R26,8/11/2020,B,Rec,ramp,0,1,0,14,0,1,0,0,0,2
R27,8/26/2020,A,Dix,ramp,0,0,0,0,0,41,0,0,0,0
R28,8/26/2020,B,Dix,ramp,0,1,0,14,0,2,0,0,0,0
R29,8/26/2020,A,Allerton,ramp,0,2,0,18,0,9,0,0,0,0
R30,8/26/2020,B,Allerton,ramp,0,1,0,25,0,8,0,0,0,0
R31,8/26/2020,A,Rec,ramp,0,0,0,5,0,1,0,0,0,1
R32,8/26/2020,B,Rec,ramp,0,0,0,9,0,4,0,0,0,0
R33,9/7/2020,A,Dix,ramp,0,0,0,5,0,21,0,0,0,0
R34,9/7/2020,B,Dix,ramp,0,0,0,6,0,5,0,0,0,0
R35,9/7/2020,A,Allerton,ramp,0,0,0,24,0,2,0,0,0,0
R36,9/7/2020,B,Allerton,ramp,0,0,0,26,1,5,0,0,0,0
R37,9/7/2020,A,Rec,ramp,1,0,0,2,0,2,0,0,0,0
R38,9/7/2020,B,Rec,ramp,0,0,0,0,0,1,0,0,0,0
R39,9/23/2020,A,Dix,ramp,0,0,0,1,0,0,0,0,0,0
R40,9/23/2020,B,Dix,ramp,0,0,0,1,0,4,0,0,0,0
R41,9/23/2020,A,Allerton,ramp,0,0,0,13,0,0,0,0,0,0
R42,9/23/2020,B,Allerton,ramp,0,0,0,3,0,0,0,0,0,0
R43,9/23/2020,A,Rec,ramp,0,0,0,3,0,3,0,0,0,0
R44,9/23/2020,B,Rec,ramp,0,0,0,0,0,8,0,0,0,0
C1,7/1/2020,A,Dix,sticky,0,0,0,2,0,3,0,0,0,0
C2,7/1/2020,B,Dix,sticky,0,0,0,0,0,3,0,0,0,0
C5,7/1/2020,A,Allerton,sticky,0,0,0,2,2,11,0,0,0,0
C6,7/1/2020,B,Allerton,sticky,0,0,0,2,3,6,0,0,0,0
C7,7/1/2020,A,Rec,sticky,0,0,0,1,0,9,0,0,0,0
C8,7/1/2020,B,Rec,sticky,0,0,0,3,3,10,0,0,0,0
C9,7/15/2020,A,Dix,sticky,0,0,0,3,0,0,0,0,0,0
C10,7/15/2020,B,Dix,sticky,0,0,0,4,0,1,1,0,0,0
C11,7/15/2020,A,Allerton,sticky,0,0,0,8,0,1,0,0,0,0
C12,7/15/2020,B,Allerton,sticky,0,0,0,17,0,4,0,0,0,0
C13,7/15/2020,A,Rec,sticky,0,0,0,6,0,11,0,0,0,0
C14,7/15/2020,B,Rec,sticky,0,0,0,3,0,8,0,0,0,0
C15,7/27/2020,A,Dix,sticky,0,0,0,14,0,0,0,0,0,0
C16,7/27/2020,B,Dix,sticky,0,0,0,1,0,1,0,0,0,0
C17,7/27/2020,A,Allerton,sticky,0,1,0,21,0,3,0,0,0,0
C18,7/27/2020,B,Allerton,sticky,0,0,0,17,0,8,0,0,0,0
